,IATA,airport,city,country,pagerank
5770,AKB,Atka Airport,Atka,United States,0.000116170796987
5007,KQA,Akutan Seaplane Base,Akutan,United States,0.000116170796987
5771,IKO,Nikolski Air Station,Nikolski,United States,0.000116170796987
1929,APW,Faleolo Intl,Faleolo,Samoa,0.000116163540215
139,YTH,Thompson,Thompson,Canada,0.000116148229889
1044,ROB,Monrovia Roberts Intl,Monrovia,Liberia,0.000116076860496
70,YHU,St Hubert,Montreal,Canada,0.000115787311943
2265,KMQ,Komatsu,Kanazawa,Japan,0.000115625736679
916,WMN,Maroantsetra,Maroantsetra,Madagascar,0.00011559802396
3167,MKW,Rendani,Manokwari,Indonesia,0.000115584395348
2250,KOJ,Kagoshima,Kagoshima,Japan,0.000115582705082
3851,KUN,Kaunas Intl,Kaunas,Lithuania,0.000115514490042
3861,ASM,Asmara Intl,Asmara,Eritrea,0.000115390533707
3418,ACK,Nantucket Mem,Nantucket,United States,0.000115312608541
4836,YBX,Lourdes De Blanc Sablon Airport,Lourdes-De-Blanc-Sablon,Canada,0.000115310870971
5474,EGM,Sege Airport,Sege,Solomon Islands,0.000115274271892
5658,ESD,Orcas Island Airport,Eastsound,United States,0.000115057103408
5657,FRD,Friday Harbor Airport,Friday Harbor,United States,0.000115057103408
1931,RUR,Rurutu,Rurutu,French Polynesia,0.000115054302901
1932,TUB,Tubuai,Tubuai,French Polynesia,0.000115054302901
4015,PGA,Page Municipal Airport,Page,United States,0.000114882680393
2893,PEE,Bolshoye Savino,Perm,Russia,0.000114784251483
4891,MAS,Momote Airport,Momote,Papua New Guinea,0.000114740575605
2527,GEL,Santo Angelo,Santo Angelo,Brazil,0.000114707565408
3678,BLI,Bellingham Intl,Bellingham,United States,0.000114678717694
66,YHD,Dryden Rgnl,Dryden,Canada,0.000114563896531
1192,OVD,Asturias,Aviles,Spain,0.000114505856001
2959,IXB,Bagdogra,Baghdogra,India,0.000114481040222
5766,SMK,St. Michael Airport,St. Michael,United States,0.000114405961429
1951,HUH,Huahine,Huahine Island,French Polynesia,0.000114364408663
5722,KTB,Thorne Bay Seaplane Base,Thorne Bay,United States,0.000113710647853
5793,TLT,Tuluksak Airport,Tuluksak,United States,0.000113644134555
5669,KUK,Kasigluk Airport,Kasigluk,United States,0.000113475172053
3864,RIY,Riyan,Mukalla,Yemen,0.000113186767849
1228,SDR,Santander,Santander,Spain,0.000113057472173
2056,ABD,Abadan,Abadan,Iran,0.000112657080359
1242,EGC,Roumaniere,Bergerac,France,0.000112532876352
3052,CJB,Coimbatore,Coimbatore,India,0.000112528034209
3253,PHE,Port Hedland Intl,Port Hedland,Australia,0.000112484119982
2540,RBR,PlÃ¡cido de Castro,Rio Branco,Brazil,0.000112392719249
822,PLZ,Port Elizabeth Intl,Port Elizabeth,South Africa,0.000112208142024
219,CZL,Mohamed Boudiaf Intl,Constantine,Algeria,0.000111893438368
5234,YIH,Yichang Airport,Yichang,China,0.000111588185704
4847,ZLT,La Tabatière Airport,La Tabatière,Canada,0.000111538998617
1379,BES,Guipavas,Brest,France,0.000111508312355
4354,VAK,Chevak Airport,Chevak,United States,0.00011142476625
5516,HPB,Hooper Bay Airport,Hooper Bay,United States,0.00011142476625
4475,PJM,Puerto Jimenez Airport,Puerto Jimenez,Costa Rica,0.000111332527594
1625,CLJ,Cluj Napoca,Cluj-napoca,Romania,0.000111236400438
4626,NYK,Nanyuki Civil Airport,Nanyuki,Kenya,0.000111147925548
5459,UAS,Samburu South Airport,Samburu South,Kenya,0.000111147925548
5999,MRE,Mara Serena Airport,Masai Mara,Kenya,0.000111147925548
3740,PSP,Palm Springs Intl,Palm Springs,United States,0.000111092120498
3935,CID,Cedar Rapids,Cedar Rapids,United States,0.00011097386699
3963,MLI,Quad City Intl,Moline,United States,0.00011097386699
5195,ULP,Quilpie Airport,Quilpie,Australia,0.000110927388671
4179,FAR,Hector International Airport,Fargo,United States,0.000110887241066
2988,CGP,Shah Amanat Intl,Chittagong,Bangladesh,0.000110630384658
3165,KNG,Kaimana,Kaimana,Indonesia,0.000110376652772
3019,IXJ,Jammu,Jammu,India,0.000110231120729
2372,ROS,Rosario,Rosario,Argentina,0.000110218687422
2896,ASB,Ashgabat,Ashkhabad,Turkmenistan,0.000109914732923
3901,FSD,Sioux Falls,Sioux Falls,United States,0.000109875048783
5070,TVY,Dawei Airport,Dawei,Burma,0.000109671780473
4917,ATD,Uru Harbour Airport,Atoifi,Solomon Islands,0.000109450030669
335,DRS,Dresden,Dresden,Germany,0.000109363160152
